month,DE,SK,PL,FR,AT,IT,HU,NL,GB,ES,BE,SE,RO,CH,SI,TR,US,CN,RU,UA,BG,HR,GR,DK,FI,NO,PT,LT,LV,IE
2012-08,66815.0,22425.0,14084.0,8217.0,10494.0,5568.0,5481.0,5768.0,9142.0,3409.0,4820.0,2974.0,2470.0,3200.0,857.0,2311.0,5299.0,2078.0,8789.0,2628.0,1036.0,765.0,311.0,1679.0,937.0,1017.0,460.0,891.0,474.0,314.0
2012-09,72574.0,23364.0,14851.0,10393.0,11535.0,7937.0,5326.0,5740.0,10694.0,4327.0,5559.0,3297.0,2802.0,3540.0,1008.0,2125.0,4826.0,1927.0,9444.0,2434.0,941.0,601.0,421.0,1674.0,881.0,1191.0,519.0,812.0,389.0,391.0
2012-10,76351.0,26519.0,16843.0,11151.0,13151.0,8008.0,5774.0,6153.0,10768.0,5030.0,5759.0,3396.0,3049.0,3671.0,1113.0,3011.0,5790.0,2315.0,10595.0,2754.0,1076.0,719.0,499.0,1479.0,1043.0,1204.0,601.0,957.0,439.0,720.0
2012-11,76404.0,25239.0,15604.0,11603.0,11796.0,8252.0,5856.0,5546.0,10770.0,4537.0,5506.0,3350.0,2960.0,3831.0,1053.0,2613.0,5187.0,2200.0,10100.0,2967.0,1316.0,612.0,437.0,1900.0,1120.0,1253.0,548.0,1276.0,547.0,640.0
2012-12,53074.0,19897.0,11915.0,8703.0,8673.0,6505.0,4614.0,4583.0,8380.0,3041.0,4533.0,2287.0,2186.0,2518.0,794.0,1878.0,4400.0,2337.0,7141.0,2270.0,1243.0,630.0,482.0,1451.0,789.0,852.0,308.0,797.0,317.0,453.0
2013-01,66618.0,20605.0,13903.0,10551.0,10018.0,7517.0,5585.0,5200.0,10393.0,4927.0,5747.0,2785.0,2378.0,2999.0,987.0,2376.0,4489.0,1966.0,8319.0,1740.0,830.0,592.0,340.0,1486.0,911.0,1112.0,816.0,832.0,508.0,789.0
2013-02,67735.0,21066.0,13735.0,10453.0,10054.0,8292.0,5391.0,4799.0,10366.0,4939.0,5428.0,2800.0,2683.0,3065.0,984.0,3045.0,4216.0,2374.0,8304.0,2221.0,833.0,604.0,316.0,1413.0,985.0,1248.0,478.0,732.0,529.0,435.0
2013-03,73563.0,22119.0,14809.0,11669.0,10731.0,9209.0,5264.0,5569.0,10366.0,4914.0,5682.0,3224.0,2887.0,3113.0,1146.0,3543.0,5173.0,2339.0,8307.0,2270.0,966.0,833.0,459.0,1621.0,1090.0,1226.0,598.0,909.0,762.0,454.0
2013-04,74471.0,22377.0,14746.0,11555.0,12804.0,8945.0,5713.0,5425.0,9989.0,5050.0,5791.0,3170.0,2950.0,3101.0,1018.0,2979.0,4896.0,2678.0,8699.0,2780.0,1108.0,634.0,375.0,1542.0,1081.0,1047.0,826.0,849.0,520.0,967.0
2013-05,69816.0,23504.0,14533.0,11247.0,11160.0,9261.0,5806.0,5366.0,9886.0,5220.0,5607.0,3490.0,2978.0,3184.0,1207.0,3073.0,4922.0,2944.0,8959.0,2368.0,1296.0,927.0,491.0,1535.0,1042.0,1067.0,613.0,1061.0,452.0,464.0
2013-06,70909.0,21797.0,15038.0,11417.0,10788.0,8719.0,5773.0,5376.0,11181.0,5164.0,5183.0,3019.0,2819.0,3442.0,1008.0,2592.0,4791.0,2863.0,8852.0,2273.0,1651.0,729.0,443.0,1573.0,1088.0,989.0,556.0,1025.0,486.0,469.0
2013-07,70715.0,21262.0,14300.0,11418.0,11115.0,8549.0,6081.0,4915.0,10208.0,4485.0,4870.0,2329.0,2889.0,3112.0,919.0,2892.0,5180.0,2694.0,8625.0,2322.0,1127.0,630.0,323.0,1420.0,798.0,925.0,576.0,942.0,426.0,464.0
